rate,values,time
16.0021,Euro to South African rand,09/01/2019 20:07:54
9.04859,Euro to Hong Kong dollar,09/01/2019 20:07:54
7.86193,Euro to Renminbi,09/01/2019 20:07:54
7.46647,Euro to Danish krone,09/01/2019 20:07:54
22.1901,Euro to Mexican peso,09/01/2019 20:07:54
4.29993,Euro to Polish złoty,09/01/2019 20:07:54
0.0735196,Silver value in Euro,09/01/2019 20:07:54
8.93688E-4,Gold value in Euro,09/01/2019 20:07:54
2.85942E-4,Euro to Bitcoin,09/01/2019 20:07:54
0.00765898,Euro to Ether,09/01/2019 20:07:54
0.0294294,Euro to Litecoin,09/01/2019 20:07:54
3.16462,Euro to XRP,09/01/2019 20:07:54
0.0130693,Euro to Dashcoin,09/01/2019 20:07:54
0.00726938,Euro to Bitcoin Cash,09/01/2019 20:07:54
1.15469,Euro to American dollar,09/01/2019 20:08:21
0.902725,Euro to pound sterling,09/01/2019 20:08:21
1.12565,Euro to Swiss franc,09/01/2019 20:08:21
1.52495,Euro to Canadian dollar,09/01/2019 20:08:21
1.60695,Euro to Australian dollar,09/01/2019 20:08:21
1.69772,Euro to New Zealand dollar,09/01/2019 20:08:21
124.956,Euro to Japanese yen,09/01/2019 20:08:21
9.76589,Euro to Norwegian krone,09/01/2019 20:08:21
77.0566,Euro to Russian ruble,09/01/2019 20:08:21
10.2345,Euro to Swedish krona,09/01/2019 20:08:21
1.56214,Euro to Singapore dollar,09/01/2019 20:08:21
6.32614,Euro to Turkish lira,09/01/2019 20:08:21
15.9988,Euro to South African rand,09/01/2019 20:08:21
9.04996,Euro to Hong Kong dollar,09/01/2019 20:08:21
7.86295,Euro to Renminbi,09/01/2019 20:08:21
7.46666,Euro to Danish krone,09/01/2019 20:08:21
22.198,Euro to Mexican peso,09/01/2019 20:08:21
4.30001,Euro to Polish złoty,09/01/2019 20:08:21
0.0735307,Silver value in Euro,09/01/2019 20:08:21
8.93861E-4,Gold value in Euro,09/01/2019 20:08:21
2.85933E-4,Euro to Bitcoin,09/01/2019 20:08:21
0.00766014,Euro to Ether,09/01/2019 20:08:21
0.0294339,Euro to Litecoin,09/01/2019 20:08:21
3.16571,Euro to XRP,09/01/2019 20:08:21
0.0130708,Euro to Dashcoin,09/01/2019 20:08:21
0.00727034,Euro to Bitcoin Cash,09/01/2019 20:08:21
